Client Order ID,Instrument,Side,Quantity,Price
u000001,Orchid,2,950,123.1
u000002,Orchid,1,710,59.88
u000003,Rose,1,680,117.08
u000004,Tulip,2,540,137.27
u000005,Lavender,1,540,120.61
u000006,Lavender,2,660,98.8
u000007,Tulip,2,790,111.09
u000008,Lavender,2,260,115.7
u000009,Lavender,2,440,24.77
u000010,Rose,2,620,62.15
u000011,Rose,2,620,128.96
u000012,Lotus,2,280,105.31
u000013,Orchid,1,510,96.06
u000014,Lotus,1,850,102.3
u000015,Lotus,2,640,23.89
u000016,Rose,1,190,114.65
u000017,Tulip,1,460,43.73
u000018,Orchid,1,730,125.1
u000019,Orchid,2,720,113.2
u000020,Orchid,1,70,62.67
u000021,Orchid,1,310,60.11
u000022,Orchid,2,150,48.6
u000023,Tulip,2,900,121.53
u000024,Rose,1,410,103.11
u000025,Tulip,2,250,74.89
u000026,Orchid,2,170,113.58
u000027,Lavender,2,800,61.18
u000028,Tulip,1,930,33.71
u000029,Rose,1,780,73.91
u000030,Orchid,1,370,63.09
u000031,Lotus,1,260,95.26
u000032,Tulip,1,990,134.71
u000033,Rose,2,140,141.32
u000034,Lotus,1,870,39.67
u000035,Tulip,2,190,100.35
u000036,Lavender,2,790,28.68
u000037,Tulip,2,50,29.8
u000038,Orchid,2,550,69.64
u000039,Lotus,1,850,143.17
u000040,Rose,2,100,52.96
u000041,Lotus,1,240,96.1
u000042,Lotus,2,620,68.66
u000043,Tulip,1,310,38.66
u000044,Orchid,1,730,115.28
u000045,Rose,1,760,24.08
u000046,Rose,2,350,51.7
u000047,Tulip,2,490,110.89
u000048,Tulip,2,210,125.28
u000049,Rose,2,280,40.74
u000050,Rose,2,430,37.94
u000051,Orchid,2,420,61.08
u000052,Orchid,2,470,109.63
u000053,Orchid,1,900,66.15
u000054,Orchid,1,140,50.52
u000055,Orchid,1,70,80.87
u000056,Lotus,1,110,49.23
u000057,Tulip,1,140,144.49
u000058,Tulip,1,40,112.73
u000059,Lavender,2,420,92.29
u000060,Rose,1,270,133.27
u000061,Orchid,2,550,144.11
u000062,Orchid,1,450,46.21
u000063,Rose,1,480,144.6
u000064,Lotus,1,330,26.57
u000065,Rose,2,720,120.18
u000066,Orchid,1,720,29.22
u000067,Tulip,2,470,79.25
u000068,Lotus,2,980,144.15
u000069,Lotus,1,490,108.23
u000070,Lavender,2,400,29.85
u000071,Orchid,1,200,67.86
u000072,Lavender,2,860,106.62
u000073,Lavender,1,840,130.14
u000074,Lotus,2,720,24.99
u000075,Tulip,2,150,113.43
u000076,Tulip,1,460,82.64
u000077,Orchid,2,160,99.9
u000078,Lavender,1,680,64.74
u000079,Lavender,2,270,83.64
u000080,Lavender,2,150,130.1
u000081,Lavender,2,250,90.85
u000082,Rose,2,220,18.52
u000083,Orchid,1,630,117.34
u000084,Orchid,2,140,144.7
u000085,Lotus,2,890,69.51
u000086,Lavender,1,30,147.59
u000087,Lavender,2,340,31.69
u000088,Lavender,1,270,44.68
u000089,Tulip,2,760,59.29
u000090,Lotus,2,470,39.07
u000091,Lotus,2,900,122.71
u000092,Lavender,1,270,92.57
u000093,Tulip,1,20,17.01
u000094,Orchid,2,590,121.1
u000095,Orchid,1,640,144.77
u000096,Lotus,1,550,62.95
u000097,Orchid,2,450,75.78
u000098,Tulip,1,260,42.63
u000099,Orchid,1,990,68.52
u000100,Tulip,2,140,33.71
u000101,Tulip,2,660,47.66
u000102,Lotus,2,390,135.99
u000103,Tulip,1,60,113.32
u000104,Lotus,1,290,112.53
u000105,Lavender,1,500,32.48
u000106,Lotus,2,360,103.43
u000107,Lotus,2,400,64.13
u000108,Orchid,1,440,67.88
u000109,Lotus,2,960,136.0
u000110,Lavender,1,430,83.87
u000111,Orchid,1,320,93.57
u000112,Orchid,1,950,54.54
u000113,Lotus,2,10,41.01
u000114,Lavender,1,550,142.41
u000115,Orchid,1,420,82.77
u000116,Orchid,1,580,134.23
